SampleID	Flagstaff 1 inhabitant	flagstaff	sandiego	toronto	Unknown
387FMZ46M2U36	0.0186	0.0751	0.0186	0.0791	0.8086
655FUMKA7E4B1	0.0096	0.0038	0.0123	0.0107	0.9636
OO2W6SYUE78C	0.0582	0.0132	0.0576	0.0201	0.8509
48C96XMV7GSBT	0.051	0.0426	0.0129	0.0893	0.8042
KG0B93FQ064	0.0159	0.0092	0.0775	0.3879	0.5095
4RG4BSF065QSP	0.0254	0.0547	0.0163	0.0396	0.864
2303CMX4VCS4Q	0.0583	0.0445	0.6208	0.0192	0.2572
2OXOMXXOKW1O	0.0116	0.0153	0.0077	0.0026	0.9628
34JPQT0UX8WOR	0.061	0.1818	0.1682	0.0513	0.5377
77BUIVT5QRVAY	0.0033	0.0029	0.0033	0.0015	0.989
3YJNB6RSO1Q4Y	0.0383	0.0315	0.0237	0.1035	0.803
7M0MZ5KXDRAX6	0.0328	0.2156	0.2026	0.2192	0.3298
28VJU05SKFEH7	0.0263	0.011	0.0206	0.0246	0.9175
32U5G6L2D4LND	0.0328	0.0817	0.0247	0.0246	0.8362
3MLPJZ9H8PS11	0.0033	0.0024	0.0025	0.0042	0.9876
CYN9VIQ8VH3Q	0.0334	0.0394	0.0175	0.1603	0.7494
1M0YT9248SCL1	0.0137	0.0417	0.0077	0.0066	0.9303
3IXQNFUKL4JQ8	0.0186	0.0244	0.0625	0.0194	0.8751
5CSNOOKG5EH5Q	0.0104	0.0191	0.0362	0.1079	0.8264
RMUCXH2GKVVC	0.0883	0.0143	0.079	0.0316	0.7868
23TV7JCJ6NMY5	0.0106	0.0057	0.009	0.0053	0.9694
4C625IFX1OOCD	0.033	0.0112	0.0255	0.037	0.8933
3UOIB6JS08JZM	0.0326	0.0108	0.0165	0.0232	0.9169
KVCP56C6EHYR	0.0521	0.0579	0.1441	0.2437	0.5022
P43HEC04Y30E	0.0715	0.0321	0.1781	0.0816	0.6367
3G3N7YB8D2KUX	0.1737	0.0154	0.265	0.2897	0.2562
4DPVALK9HCMIX	0.0111	0.0109	0.029	0.008	0.941
65AP2NBV9TJ7U	0.0645	0.056	0.0132	0.1715	0.6948
5HLU9H8XKUOK8	0.0887	0.292	0.0689	0.0644	0.486
2S0I354M9G018	0.0065	0.0199	0.0319	0.0124	0.9293
1MKTI3OGZ0QKP	0.1015	0.0696	0.0933	0.2244	0.5112
AISYDCB83RD2	0.0639	0.044	0.0561	0.2952	0.5408
X3B23R9K1ZT0	0.3324	0.0932	0.0745	0.0241	0.4758
2A06L0PICLGX7	0.003	0.0032	0.0032	0.0071	0.9835
43N8T3MKZM0LQ	0.0146	0.007	0.0183	0.08	0.8801
40TE7J87ZC0XB	0.0087	0.0019	0.0069	0.0033	0.9792
B801F2UPEUOP	0.009	0.0253	0.004	0.0022	0.9595
26QT8J8O8AVK0	0.0167	0.0246	0.0084	0.0554	0.8949
1KMNQ3UC3BSI6	0.005	0.0118	0.0177	0.0161	0.9494
3GMEVQU78GZM7	0.0719	0.058	0.2306	0.2667	0.3728
6EEJB57JLLULP	0.0047	0.0012	0.0025	0.0027	0.9889
J3S3DFGB8L32	0.1228	0.0119	0.1026	0.115	0.6477
3KXKGYL96U1JL	0.2555	0.0628	0.0832	0.0095	0.589
3PTZS6JMMOQB3	0.0542	0.0708	0.0548	0.2683	0.5519
541U1NZLG1VJ2	0.0051	0.0034	0.0029	0.0128	0.9758
6V65E7RLRFMCN	0.0153	0.004	0.0046	0.0155	0.9606
7IPLL57JJG5T5	0.0278	0.0298	0.0134	0.0925	0.8365
5943Y4IZDM01Z	0.0209	0.105	0.029	0.1034	0.7417
12T9HJ3CYX81S	0.0351	0.4359	0.2423	0.0885	0.1982
46GCN8C3Q3358	0.0044	0.0018	0.0047	0.004	0.9851
4BKAL7S1DNREZ	0.1731	0.0639	0.3376	0.0998	0.3256
6NMPKSQEF3M57	0.082	0.2125	0.0121	0.0334	0.66
3CMIES7UTA0SL	0.0084	0.0104	0.0104	0.0297	0.9411
395DOU7S4Z4L0	0.0158	0.0044	0.0314	0.0194	0.929
LBM49UCOQCXP	0.0072	0.004	0.0054	0.0134	0.97
5WXHB3RYQP0C8	0.265	0.0299	0.1609	0.0404	0.5038
6UQQ2ZYP0O3KG	0.0737	0.0584	0.0162	0.1642	0.6875
59HA11SIQ29Y8	0.0045	0.0086	0.0059	0.0029	0.9781
4BV1V6G6QAKFH	0.0344	0.0567	0.0136	0.0181	0.8772
1D4MXUE3I9156	0.0058	0.0057	0.0042	0.0054	0.9789
Z6DP9V51NMU4	0.1855	0.0673	0.0625	0.039	0.6457
5SZHSTAG4S8B3	0.0087	0.0299	0.0098	0.0099	0.9417
BE3DCPJJELS9	0.1333	0.0648	0.0784	0.2951	0.4284
53OBLW87N2VOL	0.0127	0.0129	0.0143	0.0159	0.9442
4DNYF5IQJK3L7	0.3466	0.0537	0.0453	0.2037	0.3507
6OOHTJ0M962PE	0.0359	0.2401	0.0077	0.1486	0.5677
2H3CZB2P6LM5P	0.1203	0.1637	0.386	0.0966	0.2334
3V6FV27N42MK5	0.0051	0.0038	0.0036	0.0085	0.979
6H3YVTSQ6IFET	0.0145	0.0638	0.0098	0.1059	0.806
4CMBNV78FI762	0.0416	0.0153	0.0146	0.0082	0.9203
1WA319THDSWSH	0.0021	0.0027	0.0045	0.0066	0.9841
328MT15GSDBRM	0.2047	0.0948	0.09	0.3348	0.2757
4OMIND8X95E5X	0.0095	0.0056	0.0255	0.0075	0.9519
6BAO3TQKN0B6Y	0.01	0.0053	0.0116	0.0103	0.9628
1WVY4HU8AKKH7	0.0222	0.0681	0.0285	0.0907	0.7905
2JQABBSXEFN6H	0.0066	0.0114	0.0027	0.0084	0.9709
2BJEG43Q8H23W	0.0469	0.0349	0.0471	0.0757	0.7954
3E1OQF6CQCSW	0.0357	0.0297	0.0265	0.0391	0.869
7CUMUUC55F5P7	0.0066	0.0153	0.0071	0.0215	0.9495
3YSKVVR0RJAMW	0.3368	0.0961	0.0668	0.1201	0.3802
5OJX6PQ7R1RIE	0.1511	0.0807	0.0272	0.0524	0.6886
737A748NOFIF5	0.0376	0.0666	0.0073	0.065	0.8235
6RQS5HXN6ECSH	0.2489	0.0351	0.1424	0.1728	0.4008
12387CEEUK4ON	0.0352	0.0309	0.0247	0.0339	0.8753
5G7J6C15FE4HD	0.0115	0.0175	0.0503	0.0294	0.8913
7GROQALOR0US9	0.0053	0.0035	0.0092	0.0086	0.9734
3GAHBBMRGV93E	0.0159	0.0486	0.0214	0.0671	0.847
5NEAUCCOHASQL	0.0139	0.0149	0.5198	0.0965	0.3549
4SHEQ88NTOX9M	0.0131	0.0045	0.0291	0.0091	0.9442
3Q2HX2RPGHYAE	0.0066	0.004	0.0061	0.0465	0.9368
3FBCPH2WUE8LU	0.0053	0.0037	0.0065	0.0053	0.9792
7ADYC77BHLFX1	0.026	0.0035	0.0095	0.0079	0.9531
HEK8TKT34NUN	0.0572	0.1004	0.1304	0.3076	0.4044
NG01HB3U66Z	0.216	0.0323	0.1895	0.0656	0.4966
2FBJJM6U3NQ34	0.1438	0.0744	0.2709	0.1968	0.3141
6MQOEDOBTZUL3	0.0261	0.0499	0.009	0.0387	0.8763
5OYLQHUA80D5O	0.0179	0.0058	0.0086	0.0098	0.9579
23F1HIC3TM5X	0.2529	0.1097	0.1376	0.0919	0.4079
12HBX3VX7BHIZ	0.103	0.0466	0.0143	0.1552	0.6809
5TPA5UR45VOML	0.2136	0.1818	0.3276	0.0231	0.2539
5BJ45PUAMTDLW	0.0617	0.062	0.0696	0.5098	0.2969
6IWYIR4KSXL4Y	0.1321	0.0384	0.0451	0.0569	0.7275
5V7KQUXMLJN7D	0.0446	0.0383	0.0117	0.0089	0.8965
6UAM2363CV4VT	0.0149	0.0137	0.0192	0.014	0.9382
5SNQU9P6F2V41	0.1474	0.1667	0.0999	0.1939	0.3921
WCJ3PGS1DN5P	0.4602	0.1663	0.0494	0.061	0.2631
1EHIWLXM0YOIU	0.108	0.0883	0.1198	0.3158	0.3681
1ML2F8WR2ADMC	0.0336	0.1947	0.0072	0.0542	0.7103
1C3XTEAKEI7O4	0.0778	0.025	0.0204	0.1008	0.776
3FM42NUD2IPH3	0.0074	0.007	0.0053	0.0085	0.9718
1MVBY57N3VKEB	0.02	0.0388	0.0144	0.1078	0.819
44RMMYY0OIG03	0.2462	0.0658	0.0174	0.0452	0.6254
2QJ73HRXBCXS9	0.0151	0.0239	0.0068	0.0042	0.95
29C29I5E1IKCJ	0.0064	0.0082	0.0099	0.0107	0.9648
4B33SRT0JMLZD	0.0082	0.0417	0.0133	0.1894	0.7474
ZIPXT6JB5D11	0.1452	0.0612	0.1415	0.0559	0.5962
705BV8T7NMHY4	0.0119	0.0186	0.0112	0.0093	0.949
5FQ3JYX5DKZUV	0.0682	0.1055	0.0512	0.1638	0.6113
54YYCD8CRHA6B	0.0207	0.0409	0.045	0.0871	0.8063
7F2GVQR1IWXJU	0.0223	0.0483	0.0481	0.1158	0.7655
3UJI0B0H12S4G	0.013	0.0583	0.0117	0.1214	0.7956
CP23X79K89W1	0.0274	0.1935	0.3125	0.0864	0.3802
5JCHHXOT4BAZ9	0.0302	0.0764	0.0138	0.0804	0.7992
1S4FL82AL4WTJ	0.0427	0.0873	0.1237	0.1235	0.6228
5Y6J304UY8HNJ	0.0592	0.0288	0.0161	0.081	0.8149
6D0H8DBCEWLF8	0.0375	0.0131	0.0167	0.0239	0.9088
4MM7608A7VXYS	0.0465	0.0143	0.0153	0.0209	0.903
4WVWO0PRWOV63	0.0147	0.0581	0.016	0.0901	0.8211
5QTO6A9XXTQ5I	0.0049	0.0048	0.0031	0.0066	0.9806
17QRX18F53JWF	0.0419	0.0817	0.0316	0.2535	0.5913
3934GJOEQNVP2	0.0118	0.0136	0.0189	0.0093	0.9464
59WSRYUZU2VN0	0.0249	0.018	0.0356	0.0093	0.9122
3YLK6MTBLU92O	0.0206	0.0118	0.008	0.0319	0.9277
609LQ68QFU4ON	0.0015	0.001	0.0013	0.001	0.9952
45H2N5WU936DD	0.136	0.0876	0.0487	0.0488	0.6789
6FGKH0Q1IXY7J	0.0064	0.0069	0.0079	0.0056	0.9732
1VGB35AS70E4B	0.0192	0.0123	0.0081	0.0096	0.9508
5PUN04ZNOLSKJ	0.0223	0.5055	0.038	0.0119	0.4223
5G8DDGZK2G4IV	0.0149	0.0271	0.0084	0.0988	0.8508
4T7XRHAV93MVA	0.0061	0.0042	0.0088	0.0182	0.9627
4UQBVEU8XIC7E	0.0151	0.0199	0.0136	0.0414	0.91
2C0ZZWA0FVV2D	0.0139	0.0545	0.0117	0.0428	0.8771
51LQT0KWC0IQR	0.0401	0.0527	0.0457	0.0659	0.7956
1KHEI32R0WDLD	0.0155	0.0223	0.1356	0.2326	0.594
4037J4NV0G19V	0.0557	0.1046	0.0123	0.0588	0.7686
2DMH3A7LQ2P50	0.0159	0.0044	0.0098	0.0851	0.8848
6E4IPE4XNAAVD	0.0066	0.0223	0.0076	0.0201	0.9434
6BIFKID42I9W3	0.0096	0.005	0.0046	0.006	0.9748
375WBE28VA0KM	0.0167	0.1311	0.0217	0.2135	0.617
4GIZ7YD33BCX6	0.054	0.0266	0.0262	0.0382	0.855
21WSJTP31ABYR	0.019	0.0185	0.0292	0.136	0.7973
2ZDD332U5CFE0	0.0447	0.1148	0.0871	0.2937	0.4597
71P50BXK3AG4O	0.0447	0.1161	0.0195	0.1023	0.7174
24T5ATV3J57KR	0.0256	0.0198	0.0206	0.0125	0.9215
4FEOTSB7RO0FE	0.1798	0.0367	0.0953	0.3674	0.3208
59YT6C9E0M5C2	0.2212	0.0859	0.0543	0.3128	0.3258
1KCZH79KLIYQ2	0.1292	0.0628	0.0195	0.0842	0.7043
42L7N84329WZW	0.1285	0.045	0.0106	0.0148	0.8011
4S6EJ4C8DSH7H	0.1833	0.059	0.0139	0.0603	0.6835
136A30E6LCXSZ	0.3744	0.1417	0.0331	0.0418	0.409
34BGJ2126PBR3	0.1906	0.1697	0.0282	0.012	0.5995
5FA2YRE43142T	0.0422	0.0408	0.0121	0.09	0.8149
7H5SG2373S7ML	0.1868	0.0605	0.0514	0.2606	0.4407
1SBGAGZZQTYDR	0.225	0.1361	0.0668	0.0456	0.5265
JKMVPWW8UGWM	0.0169	0.0374	0.0172	0.0482	0.8803
2ZE3UIROF5CIX	0.0095	0.0622	0.0131	0.0432	0.872
48GO7TG1MU774	0.0755	0.0342	0.1681	0.1489	0.5733
7PL0IQY6XYCCI	0.0133	0.0144	0.0129	0.0233	0.9361
5AWF83VEN367U	0.0355	0.0835	0.0474	0.2641	0.5695
7DHBSGB155D39	0.2334	0.1715	0.0617	0.3233	0.2101
72BQUZN59V0YB	0.0176	0.0581	0.0205	0.1711	0.7327
6MP3J14DSML9F	0.0545	0.0398	0.031	0.4093	0.4654
1O6SFS2MFQUQM	0.009	0.007	0.0036	0.0099	0.9705
