#SampleID	Env	SourceSink
2V6MLZ89HUG6O	T1W.3.Dr.066	sink
7D12A3JPRBU9K	T3W.3.Dr.066	sink
4HERH86VL5HFN	T3C.3.Dr.066	sink
6IWYIR4KSXL4Y	T1F.3.Dr.066	sink
3G3N7YB8D2KUX	T2C.3.Dr.066	sink
DABX5HVX7KKW	T1C.3.Dr.066	sink
5HLU9H8XKUOK8	T2F.3.Dr.066	sink
2TMKJQVMYWUYH	T2C.3.Dr.063	sink
59YT6C9E0M5C2	T1F.3.Dr.063	sink
275HVJG1KR521	T3W.3.Dr.063	sink
1SBGAGZZQTYDR	T1W.3.Dr.063	sink
6A5VYLBG0BCGN	T3F.3.Dr.063	sink
4FEOTSB7RO0FE	T2W.3.Dr.063	sink
1RFF41XX5Q6TN	T2F.3.Dr.063	sink
50ZQBKOQKPYRQ	T1C.3.Dr.063	sink
X3B23R9K1ZT0	T3C.3.Dr.063	sink
71LW6OKD7EAWX	T3C.3.Dr.069	sink
3YSKVVR0RJAMW	T1C.3.Dr.069	sink
6TYV3JKTN5ROR	T2C.3.Dr.069	sink
45ZLDT7J17Y30	T1W.3.Dr.069	sink
136A30E6LCXSZ	T3W.3.Dr.069	sink
67HSFC58901SB	T3F.3.Dr.069	sink
5SNQU9P6F2V41	T2F.3.Dr.069	sink
23DCV9G8L24XK	T2W.3.Dr.069	sink
66DQYBBN0MCC6	T1F.3.Dr.069	sink
33KFNIIAKRC25	F1C.3.Dr.072	sink
2H3CZB2P6LM5P	F1W.3.Dr.072	sink
6RQS5HXN6ECSH	F1F.3.Dr.072	sink
10Y74YR04LIWP	F3W.3.Dr.072	sink
5QFNW81ZYBG7R	F3F.3.Dr.072	sink
32GE6HOPCDMM0	F3C.3.Dr.072	sink
3GMEVQU78GZM7	F2F.3.Dr.072	sink
5WYNIC7YA69ZS	F2W.3.Dr.072	sink
2U5C7JELUB9PR	F2C.3.Dr.072	sink
1E06D72WSB6GR	S1C.3.Dr.061	sink
CP23X79K89W1	S1F.3.Dr.061	sink
7IIRHRW0FNHKO	S1W.3.Dr.061	sink
1CW4W69BJXH0M	S1F.3.Dr.062	sink
QF27YTQ5RR46	S1F.3.Dr.070	sink
2RX99HRFDJUTH	S1W.3.Dr.070	sink
79ROXM2VN18WD	S1C.3.Dr.070	sink
67KJHX55TUKRJ	S1C.3.Dr.064	sink
34R874BTDZKHI	S2F.3.Dr.064	sink
GRYHDYIS1QVR	S2W.3.Dr.064	sink
569F8N9ILRO6T	S2C.3.Dr.064	sink
4JSCKFTX7LYAD	S1F.3.Dr.064	sink
7EYMS3NQ38FC8	S1W.3.Dr.064	sink
2303CMX4VCS4Q	S3W.3.Dr.061	sink
3I17PYF8OZ5XL	S3C.3.Dr.061	sink
2932DJK1WNQ4P	S3F.3.Dr.061	sink
JIT384O47KJB	S2W.3.Dr.061	sink
5NEAUCCOHASQL	S2F.3.Dr.061	sink
5TPA5UR45VOML	S2C.3.Dr.061	sink
45H2N5WU936DD	S3W.3.Dr.070	sink
77UDCR75EEAVC	S3F.3.Dr.070	sink
NLPGOVXC11J1	S3C.3.Dr.070	sink
19MRJOSHFMVNF	F2F.3.Dr.066	sink
4QM3JQRBRL8XN	F2C.3.Dr.066	sink
U4P2T1VNVVB2	F2W.3.Dr.066	sink
TOOHLIUDBZJ0	F1W.3.Dr.066	sink
7DHBSGB155D39	F1F.3.Dr.066	sink
2GCTY20HR6WK1	F1C.3.Dr.066	sink
5BJ45PUAMTDLW	F3F.3.Dr.066	sink
7CLAM18YK1LJ5	F3W.3.Dr.066	sink
5PH4KD89VMSQ2	F3C.3.Dr.066	sink
3UHX4YGIZPISS	S2F.3.Dr.079	sink
4GIZ7YD33BCX6	S2W.3.Dr.079	sink
JLK5T4LP23IJ	S2C.3.Dr.079	sink
23F1HIC3TM5X	T3C.3.Dr.072	sink
56EXDT9DRGQ59	T2F.3.Dr.072	sink
453T4JDQJDTKJ	T2C.3.Dr.072	sink
6LG1R4RHL33Y4	T1F.3.Dr.072	sink
66M062BFR5X9U	T3W.3.Dr.072	sink
5K4XHUVUD07DE	T3F.3.Dr.072	sink
7E03G8U00JRUJ	T2W.3.Dr.072	sink
1FKHCKNTEIEQL	T1W.3.Dr.072	sink
10QFRI7RKL82B	T1C.3.Dr.072	sink
328MT15GSDBRM	S3C.3.Dr.067	sink
2FRK4TPVE7LV6	S3W.3.Dr.067	sink
2MYKMR6DNW9BA	S3F.3.Dr.067	sink
53AT9CK4PLJOV	S3W.3.Dr.064	sink
2FBJJM6U3NQ34	S3F.3.Dr.064	sink
Z6DP9V51NMU4	S3C.3.Dr.064	sink
2LUJ5QCSFIJV5	F2W.3.Dr.078	sink
2E7I2LD8VA0MZ	F2C.3.Dr.078	sink
6VLX5I5NU7IXT	F2F.3.Dr.078	sink
68WU6OYJSRV5C	F3C.3.Dr.078	sink
3KXKGYL96U1JL	F3W.3.Dr.078	sink
2U6ZVSTMHYT8	F3F.3.Dr.078	sink
12T9HJ3CYX81S	F1W.3.Dr.078	sink
34BGJ2126PBR3	F1C.3.Dr.078	sink
1I5897PQUBH2	F1F.3.Dr.078	sink
29BBLAJUN7B2D	S3W.3.Dr.079	sink
7DMTXMAWAUF1P	S3C.3.Dr.079	sink
5PUN04ZNOLSKJ	S3F.3.Dr.079	sink
53DKBXK2AG2O3	S1C.3.Dr.079	sink
1LQ7G2AO0NVPS	S1F.3.Dr.079	sink
30BB869QJQDQL	S2W.3.Dr.073	sink
4P0FAWWDK0WO	S2F.3.Dr.073	sink
4U6H6K7W79Y7Q	S1F.3.Dr.073	sink
4FCFLHRUDCRJG	S2C.3.Dr.073	sink
3SVCXAC8Z71N0	S1W.3.Dr.073	sink
B801F2UPEUOP	S1C.3.Dr.073	sink
